,T,S/K,Date,DateStep,B Reward,A Reward,A PnL,B PnL,P0,P-1,S0,S-1,A Pos,B Pos,A TC,B TC,A PnL - TC,B PnL - TC,Expiry,v,episode,cr1,cr2,ticker
0,30.0,1.0,2026-05-03,0,0.05698892183646108,0.6426442759064497,1.863668400128704,0.1652678733257371,70.88327138711884,72.7866045637943,2893.3323253841872,2900.0,-0.9998213648796082,-0.5490391981620106,-2.8994819581508637,-1.592213674669831,4.763150358279567,1.757481547995568,2026-06-02,0.20098210550281004,0,0,0,NSE-SIM
1,30.0,0.9977008018566162,2026-05-03,0,-1.7232679534104767,-3663.1379984349583,-16.535225271737627,-0.34626285715319227,89.079768984358,70.88327138711884,2928.0639608646698,2893.3323253841872,-0.9999885857105255,-0.5325097732707619,-0.00048382543557079656,-0.04782511935786003,-16.534741446302057,-0.2984377377953322,2026-06-02,0.19562852431908728,0,0,0,NSE-SIM
2,30.0,1.0096772278843689,2026-05-03,0,1.6353739100348006,3.973863692073788,11.524204707013986,4.7425843391009215,83.57955300174535,89.079768984358,2911.0393853418354,2928.0639608646698,-0.99999138712883,-0.6160089755268441,-8.20273197654721e-06,-0.24449100488698422,11.524212909745962,4.987075343987906,2026-06-02,0.20982800371994,0,0,0,NSE-SIM
3,30.0,1.0038066846006328,2026-05-03,0,0.26407981092761973,6.015761041966529,17.445707021702937,0.7658314516900973,62.33016180794402,83.57955300174535,2872.3438261292185,2911.0393853418354,-0.999988317489624,-0.5722277195748036,-8.935840627259286e-06,-0.1274489604161216,17.445715957543563,0.8932804121062189,2026-06-02,0.20736747748378398,0,0,0,NSE-SIM
4,30.0,0.9904633883204201,2026-05-03,0,-43.09365952567259,-41.92658336072632,-1.7575379396285165,-1.7820084848404294,61.01908928029752,62.33016180794402,2872.7902888043473,2872.3438261292185,-0.9999850392341614,-0.48341148113670196,-9.416276838607015e-06,-0.2551107741377017,-1.7575285233516778,-1.5268977107027277,2026-06-02,0.2027159339065509,0,0,0,NSE-SIM
5,30.0,0.9906173409670163,2026-05-03,0,1.042603856400253,-1861.4562655999039,-11.78348188354563,3.023551183560734,77.90811098917538,61.01908928029752,2901.463179999261,2872.7902888043473,-0.9999863505363464,-0.4835593848779761,-3.767096182924249e-06,-0.0004248964316102317,-11.783478116449446,3.023976079992344,2026-06-02,0.20893227917463458,0,0,0,NSE-SIM
6,30.0,1.0005045448273313,2026-05-03,0,-0.6587613769116105,-3093.2610921991495,-15.19364317957395,-0.209399653700153,96.50300267917373,77.90811098917538,2935.252125770688,2901.463179999261,-0.9999877214431763,-0.5507521358242962,-3.977635689972818e-06,-0.1949572928336081,-15.193639201938261,-0.014442360866544907,2026-06-02,0.20486887612880555,0,0,0,NSE-SIM
7,30.0,1.0121559054381684,2026-05-03,0,-6.240861878621261,0.8482855023612887,2.4600279568477372,-0.6702693799907395,91.16019083103424,96.50300267917373,2927.449203503321,2935.252125770688,-0.9999904632568359,-0.6278046789948353,-8.047914373007516e-06,-0.22616864113736265,2.4600360047621104,-0.44410073885337686,2026-06-02,0.2077093943088183,0,0,0,NSE-SIM
8,29.0,1.009465242587352,2026-05-04,0,-25.512248699652833,-1061.8416542120012,-8.89658521995194,-1.3681789763772745,101.68594319674139,91.16019083103424,2946.871651048966,2927.449203503321,-0.9999938309192657,-0.6096432885909255,-9.858660697814085e-06,-0.05316654787243842,-8.89657536129124,-1.3150124285048361,2026-06-02,0.202057835483695,0,0,0,NSE-SIM
9,29.0,1.016162638292747,2026-05-04,0,0.414509531802154,4.760700354357736,13.806031027637435,1.2020776422262465,79.28156224909753,101.68594319674139,2910.6610543497045,2946.871651048966,-0.9999949932098389,-0.6556667370794386,-3.4251211402091287e-06,-0.13562519563431144,13.806034452758574,1.337702837860558,2026-06-02,0.2016129371578714,0,0,0,NSE-SIM
