,T,S/K,Date,DateStep,B Reward,A Reward,A PnL,B PnL,P0,P-1,S0,S-1,A Pos,B Pos,A TC,B TC,A PnL - TC,B PnL - TC,Expiry,v,episode,cr1,cr2,ticker
0,30.0,1.0,2026-04-25,0,-117.45763900658885,-93.30165061717658,-3.9325878929804277,-4.415908984547181,73.1737843211904,72.7866045637943,2905.8481709102416,2900.0,-0.4937909529544413,-0.5490391981620106,-1.4319937635678799,-1.592213674669831,-2.5005941294125478,-2.8236953098773494,2026-05-25,0.18708350125560833,0,0,0,NSE-SIM
1,30.0,1.002016610658704,2026-04-25,0,-19.435818460875435,-10.147170222946736,-1.277749796824029,-1.7792991083112462,89.38450054408372,73.1737843211904,2937.59891302455,2905.8481709102416,-0.5460245050489902,-0.565128875049637,-0.15178277181408986,-0.046754158154446,-1.1259670250099392,-1.7325449501568002,2026-05-25,0.1775595242618626,0,0,0,NSE-SIM
2,30.0,1.0129651424222585,2026-04-25,0,-16.63514602428832,-16.52923731879738,-1.638650657968185,-1.6439831323971248,100.21979854994765,89.38450054408372,2956.437337390819,2937.59891302455,-0.6464885473251343,-0.6493106168182035,-0.2951230613884531,-0.24729219311585401,-1.3435275965797318,-1.3966909392812707,2026-05-25,0.1713795040698377,0,0,0,NSE-SIM
3,30.0,1.0194611508244202,2026-04-25,0,0.3373624494995809,0.3436571431311075,0.9966057150802117,0.9783511035487846,107.6515940241527,100.21979854994765,2965.4354100229316,2956.437337390819,-0.6981877684593201,-0.7004126930457147,-0.1528455076751314,-0.1510800861772061,1.149451222755343,1.1294311897259908,2026-05-25,0.174989643206692,0,0,0,NSE-SIM
4,30.0,1.022563934490666,2026-04-25,0,-0.09630381326158591,-0.16243220447696533,-0.1388156631337658,-0.10153467505072644,101.64634496962776,107.6515940241527,2957.1389081605175,2965.4354100229316,-0.7120531499385834,-0.7178086808823315,-0.04111689321208354,-0.051586678323031605,-0.09769876992168228,-0.049947996727694836,2026-05-25,0.1745527235347131,0,0,0,NSE-SIM
5,30.0,1.0197030717794888,2026-04-25,0,0.767477605475813,0.7358516751987554,2.133969858076391,2.2256850558798575,80.21408625126605,101.64634496962776,2923.2166695535207,2957.1389081605175,-0.6961036324501038,-0.6990520309758017,-0.04716493873156968,-0.05546601922534464,2.1811347968079606,2.281151075105202,2026-05-25,0.1772738818939237,0,0,0,NSE-SIM
6,30.0,1.0080057481219036,2026-04-25,0,6.459922224637918,6.515669838606887,18.895442531959972,18.73377445144996,46.85901799956923,80.21408625126605,2837.84808402415,2923.2166695535207,-0.6148404628038406,-0.6131070145223526,-0.23754985213071203,-0.251235904761774,19.132992384090684,18.985010356211735,2026-05-25,0.2067920079407992,0,0,0,NSE-SIM
7,30.0,0.9785683048359138,2026-04-25,0,2.0453348995126426,1.7992108016048844,5.217711324654164,5.931471208586663,32.88389567387037,46.85901799956923,2786.9682181810667,2837.84808402415,-0.3897719383239746,-0.40296759705975005,-0.6387102809693302,-0.5963437432241977,5.856421605623495,6.527814951810861,2026-05-25,0.21990321176968336,0,0,0,NSE-SIM
8,30.0,0.9610235235107126,2026-04-25,0,-0.8247605889776672,-1.1359405699324328,-0.4090710032205227,-0.34458497168120084,31.224939027905634,32.88389567387037,2781.724242507027,2786.9682181810667,-0.2908957749605179,-0.30350474277462264,-0.27556472482963307,-0.27719981378222464,-0.13350627839088963,-0.0673851578989762,2026-05-25,0.21955827928304447,0,0,0,NSE-SIM
9,30.0,0.9592152560369059,2026-04-25,0,1.653142865831287,1.3320637312474641,3.862984820617646,4.794114310910732,22.48103860661422,31.224939027905634,2735.388950858285,2781.724242507027,-0.2731451988220215,-0.2928166740572814,-0.04937720796292221,-0.029731259856609106,3.912362028580568,4.823845570767341,2026-05-25,0.23625064342260502,0,0,0,NSE-SIM
10,29.0,0.9432375692614776,2026-04-26,0,-1.323380872480119,0.2691139423333922,0.7804304327668374,-0.44368770107879474,29.424796862074572,22.48103860661422,2767.842060159802,2735.388950858285,-0.1822538673877716,-0.22163471437168547,-0.24862314373404545,-0.194710346024419,1.0290535765008828,-0.24897735505437574,2026-05-25,0.23186545592677968,0,0,0,NSE-SIM
11,29.0,0.9544282966068283,2026-04-26,0,0.35285442961875346,0.6097621558043627,1.7683102518326517,1.023277845894385,34.133717012393504,29.424796862074572,2780.787445063477,2767.842060159802,-0.21924585103988647,-0.2735970274437315,-0.10238796824106733,-0.14382347566400044,1.870698220073719,1.1671013215583854,2026-05-25,0.2355780027059719,0,0,0,NSE-SIM
12,29.0,0.9588922224356818,2026-04-26,0,0.7436504445314746,1.1714538928968858,3.397216289400969,2.156586289141276,43.17761996647744,34.133717012393504,2803.405395875237,2780.787445063477,-0.24632573127746582,-0.30112251114719196,-0.07530339097848322,-0.07654251950188223,3.4725196803794525,2.2331288086431584,2026-05-25,0.24154920972945962,0,0,0,NSE-SIM
13,29.0,0.9666915158190472,2026-04-26,0,0.06797606709667267,1.3446849478437761,3.8995863487469506,0.19713059458035076,66.10897120412255,43.17761996647744,2868.1352807265703,2803.405395875237,-0.2920384258031845,-0.349137277768114,-0.12815121449339617,-0.13460485582678303,4.027737563240347,0.3317354504071338,2026-05-25,0.22962659578155484,0,0,0,NSE-SIM
14,29.0,0.9890121657677828,2026-04-26,0,1.7114485285981265,0.6719593668103853,1.9486821637501173,4.963200732934567,46.985709779957915,66.10897120412255,2816.8357916743435,2868.1352807265703,-0.4177941828966141,-0.47665587300803924,-0.360684523674146,-0.3657405819563209,2.309366687424263,5.328941314890888,2026-05-25,0.23803641892047245,0,0,0,NSE-SIM
15,29.0,0.9713226867842564,2026-04-26,0,0.4494381756164304,0.12205701293557983,0.3539653375131815,1.3033707092876483,42.403816214239555,46.985709779957915,2800.2901451759626,2816.8357916743435,-0.3156990110874176,-0.3732954013917516,-0.28758533410928605,-0.29114947589309914,0.6415506716224675,1.5945201851807473,2026-05-25,0.24259782725491996,0,0,0,NSE-SIM
16,29.0,0.9656172914399871,2026-04-26,0,0.674669173369986,0.050546813676213276,0.1465857596610185,1.956540602772959,33.05248406048338,42.403816214239555,2767.1657641883594,2800.2901451759626,-0.28899267315864563,-0.3438641969644748,-0.07478549491567918,-0.08241591171836242,0.22137125457669768,2.0389565144913213,2026-05-25,0.24640795807843663,0,0,0,NSE-SIM
17,29.0,0.9541950910994342,2026-04-26,0,-7.718193456013974,-8.099206870162579,-1.138530554444442,-1.110754859301574,31.830999350931165,33.05248406048338,2766.214871036289,2767.1657641883594,-0.23739397525787354,-0.2857025957753607,-0.14278215030771432,-0.1609427916008934,-0.9957484041367276,-0.9498120677006805,2026-05-25,0.2428012158567305,0,0,0,NSE-SIM
