,T,S/K,Date,DateStep,B Reward,A Reward,A PnL,B PnL,P0,P-1,S0,S-1,A Pos,B Pos,A TC,B TC,A PnL - TC,B PnL - TC,Expiry,v,episode,cr1,cr2,ticker
0,30.0,1.0,2026-05-03,0,1.4608484357114264,-7131.1589227989625,-23.07593769784458,4.236460463563137,110.47464685654973,72.7866045637943,2958.02749286604,2900.0,-0.9973162710666656,-0.5490391981620106,-2.8922171860933306,-1.592213674669831,-20.18372051175125,5.8286741382329685,2026-06-02,0.20195828826072182,0,0,0,NSE-SIM
1,30.0,1.0200094802986346,2026-05-03,0,-47.60097118534971,-1041.2944081729145,-8.809962583470625,-1.873537141837362,124.51925715701145,110.47464685654973,2980.9253891474696,2958.02749286604,-0.9980174005031586,-0.6784604038229314,-0.0020739601492037315,-0.3828314845048736,-8.807888623321421,-1.4907056573324886,2026-06-02,0.19481686542771276,0,0,0,NSE-SIM
2,30.0,1.0279053066025756,2026-05-03,0,-48.60647112231967,-1551.8094197949717,-10.757744398739757,-1.8933560785276455,147.49887195471047,124.51925715701145,3014.72841453228,2980.9253891474696,-0.9980541467666626,-0.7311724312809502,-0.00010953786983546108,-0.15713062096304692,-10.75763486086992,-1.7362254575645986,2026-06-02,0.18317835762766158,0,0,0,NSE-SIM
3,30.0,1.0395615222525103,2026-05-03,0,0.868604126682966,-1336.1971206261,-9.98152576168443,2.518951967380602,203.98309087321832,147.49887195471047,3081.3188741632316,3014.72841453228,-0.998123973608017,-0.8069736586147626,-0.00021050896272805728,-0.228520113899665,-9.981315252721702,2.7474720812802667,2026-06-02,0.17924823953430297,0,0,0,NSE-SIM
4,30.0,1.0625237497114592,2026-05-03,0,-8.859639425828158,-47.17684868801154,-1.865114747020657,-0.8010357948236013,216.7379591499557,203.98309087321832,3095.966552057526,3081.3188741632316,-0.9981053471565247,-0.9048705601517804,-5.739403654193937e-05,-0.30165157042811247,-1.865057352984115,-0.49938422439548885,2026-06-02,0.17453148871786459,0,0,0,NSE-SIM
5,30.0,1.0675746731232847,2026-05-03,0,-42.73018074218736,-18.0192865852337,-1.1478039657676327,-1.7744232058019929,207.89452807600583,216.7379591499557,3088.256364675942,3095.966552057526,-0.9981157183647156,-0.9248709668745332,-3.210891366350707e-05,-0.06192059024118923,-1.1477718568539692,-1.7125026155608036,2026-06-02,0.1605318327328734,0,0,0,NSE-SIM
6,30.0,1.0649159878192904,2026-05-03,0,0.9735058646341908,1.6275157646847012,4.719795717585633,2.823167007439153,183.54579827710495,207.89452807600583,3059.1322449528193,3088.256364675942,-0.9980934858322144,-0.9339293966027392,-6.865975999975959e-05,-0.02797475326210204,4.719864377345633,2.851141760701255,2026-06-02,0.17556743313446802,0,0,0,NSE-SIM
7,30.0,1.0548731879147653,2026-05-03,0,-18.775451839279985,-647.4209112362566,-6.94401243434455,-1.1719045346701478,228.212154003018,183.54579827710495,3110.840526483998,3059.1322449528193,-0.9981057047843933,-0.8834943130464101,-3.737939061017799e-05,-0.154287590384056,-6.94397505495394,-1.0176169442860918,2026-06-02,0.15731174167721357,0,0,0,NSE-SIM
8,29.0,1.0727036298220682,2026-05-04,0,-5.405686382247069,-10.05149630575615,-0.8540432387648309,-0.6229343665215836,238.713852935854,228.212154003018,3122.2198633613416,3110.840526483998,-0.9978591203689575,-0.957410170122275,-0.000767084792737025,-0.22994044374139952,-0.8532761539720939,-0.3929939227801841,2026-06-02,0.1505736258709333,0,0,0,NSE-SIM
9,29.0,1.0766275390901179,2026-05-04,0,-1.79752700949539,-8.39346435226177,-0.7793384863928985,-0.35390976661264695,254.66410431731993,238.713852935854,3138.9853607787745,3122.2198633613416,-0.9978580474853516,-0.9701166768521147,-3.3497785055937857e-06,-0.03967250770583988,-0.7793351366143929,-0.3142372589068071,2026-06-02,0.14138301096428568,0,0,0,NSE-SIM
10,29.0,1.082408745096129,2026-05-04,0,0.46683445184038164,0.5563490478693669,1.613412238821164,1.3538199103371067,240.9988593141743,254.66410431731993,3123.67389059876,3138.9853607787745,-0.9978571534156799,-0.9836843540502631,-2.8064716107655538e-06,-0.042588740104759944,1.6134150452927747,1.3964086504418667,2026-06-02,0.16353784717044684,0,0,0,NSE-SIM
