,T,S/K,Date,DateStep,B Reward,A Reward,A PnL,B PnL,P0,P-1,S0,S-1,A Pos,B Pos,A TC,B TC,A PnL - TC,B PnL - TC,Expiry,v,episode,cr1,cr2,ticker
0,30.0,1.0,2026-05-03,0,-78.8189255810328,-23.52448618577427,-1.3132906455005307,-2.4145209845274005,79.08080781531885,72.7866045637943,2912.9617531593476,2900.0,-0.47961242496967316,-0.5490391981620106,-1.3908760324120522,-1.592213674669831,0.0775853869115215,-0.8223073098575695,2026-06-02,0.19267489345043606,0,0,0,NSE-SIM
1,30.0,1.0044695700549475,2026-05-03,0,-14.44000945965319,0.03699014787115559,0.10727142882635121,-1.026166957945458,88.45249912099757,79.08080781531885,2930.6894220761887,2912.9617531593476,-0.516530366614461,-0.5812413700271452,-0.10754055201663554,-0.09380369501180087,0.21481198084298675,-0.9323632629336571,2026-06-02,0.1885648118603839,0,0,0,NSE-SIM
2,30.0,1.010582559336617,2026-05-03,0,-282.46717561628856,-197.79249418671486,-3.8324009455844052,-4.58234307074722,91.84625561178882,88.45249912099757,2943.227759194102,2930.6894220761887,-0.5649966076016426,-0.6257366920489312,-0.1420394997889287,-0.13040196958112216,-3.6903614457954763,-4.451941101166098,2026-06-02,0.17355269059688133,0,0,0,NSE-SIM
3,30.0,1.0149061238600352,2026-05-03,0,-6.119356735571778,-33.9658710723577,-1.5806303878690873,-0.6635887795282507,78.73105069107396,91.84625561178882,2924.3600578542114,2943.227759194102,-0.6199050024151802,-0.6662657001147706,-0.16160791182799333,-0.11928610159198008,-1.4190224760410939,-0.5443026779362706,2026-06-02,0.17043817070418954,0,0,0,NSE-SIM
4,30.0,1.008400019949728,2026-05-03,0,-5.342998915135533,-0.29993591994053137,-0.13740415746725887,-0.6192384524676431,87.80389781181202,78.73105069107396,2939.7782422345385,2924.3600578542114,-0.5920865908265114,-0.6198009970368359,-0.08135105172285183,-0.1358795217811679,-0.05605310574440704,-0.4833589306864752,2026-06-02,0.16785799288499664,0,0,0,NSE-SIM
5,30.0,1.0137166352532891,2026-05-03,0,0.9574136399124229,0.7047008912696894,2.043632584682099,2.7764995557460264,77.07212994169004,87.80389781181202,2919.187981430655,2939.7782422345385,-0.6251838803291321,-0.6620889768563913,-0.09729869155674192,-0.12431728298158237,2.140931276238841,2.9008168387276085,2026-06-02,0.1751263043379184,0,0,0,NSE-SIM
6,30.0,1.0066165453209155,2026-05-03,0,1.8447174392832721,1.3655514669314084,3.9600992541010847,5.349680573921489,54.14686575828273,77.07212994169004,2872.0672247961297,2919.187981430655,-0.573749490082264,-0.6036718700039013,-0.15014665384087156,-0.17053051623373922,4.110245907941956,5.520211090155229,2026-06-02,0.18283179795120288,0,0,0,NSE-SIM
7,30.0,0.9903680085503895,2026-05-03,0,0.9125104757021398,0.7354454539870187,2.132791816562354,2.6462803795362055,50.692081519495105,54.14686575828273,2858.5300048998693,2872.0672247961297,-0.4409346431493759,-0.4774644232191933,-0.3814531688422625,-0.3624762714355616,2.5142449854046163,3.008756650971767,2026-06-02,0.19533405570720505,0,0,0,NSE-SIM
8,29.0,0.9857000016896101,2026-05-04,0,-6.739882499964763,0.038072160327465965,0.11040926494965131,-0.6970475759590737,56.795880788496106,50.692081519495105,2873.625607603234,2858.5300048998693,-0.38677265495061874,-0.44422392502397107,-0.15482366839118,-0.09501896146886271,0.2652329333408313,-0.6020286144902111,2026-06-02,0.192581449587932,0,0,0,NSE-SIM
9,29.0,0.9909053819321497,2026-05-04,0,2.6970856170577173,1.5651779794813274,4.53901614049585,7.82154828946738,37.96300584104108,56.795880788496106,2818.0618835096525,2873.625607603234,-0.4224788323044777,-0.4816443832842128,-0.10260618559367175,-0.10753238710487854,4.6416223260895215,7.929080676572259,2026-06-02,0.20628109111858617,0,0,0,NSE-SIM
