quote_datetime,expiration,strike,underlying_bid,bid,ask,ticker
2026-04-16 14:58:25,2026-04-20,73500.0,74846.72,1796.3212800000001,2095.70816,BTC
2026-04-16 14:58:25,2026-04-19,71000.0,74846.72,1234.97088,6249.701120000001,BTC
2026-04-16 14:58:25,2026-06-26,82000.0,74846.72,2919.02208,2993.8688,BTC
2026-04-16 14:58:25,2026-09-25,180000.0,74846.72,44.908032,74.84672,BTC
2026-04-16 14:58:25,2026-04-18,79000.0,74846.72,37.42336,52.392704,BTC
2026-04-16 14:58:25,2026-05-29,90000.0,74846.72,486.50368,561.3504,BTC
2026-04-16 14:58:25,2026-05-08,72000.0,74846.72,4640.49664,4977.30688,BTC
2026-04-16 14:58:25,2026-12-25,65000.0,74846.72,17364.43904,17626.40256,BTC
2026-04-16 14:58:25,2026-05-01,78000.0,74846.72,1272.39424,1309.8176,BTC
2026-04-16 14:58:25,2026-12-25,190000.0,74846.72,164.66278400000002,217.055488,BTC
2026-04-16 14:58:25,2026-09-25,72000.0,74846.72,10590.810879999999,10703.08096,BTC
2026-04-16 14:58:25,2026-05-29,105000.0,74846.72,59.877376000000005,74.84672,BTC
2026-04-16 14:58:25,2027-03-26,150000.0,74846.72,1272.39424,1347.2409599999999,BTC
2026-04-16 14:58:25,2026-04-18,75000.0,74846.72,748.4672,823.3139199999999,BTC
2026-04-16 14:58:25,2026-04-24,55000.0,74846.72,19796.957440000002,20021.497600000002,BTC
2026-04-16 14:58:25,2026-06-26,115000.0,74846.72,89.816064,112.27008000000001,BTC
2026-04-16 14:58:25,2026-05-29,94000.0,74846.72,269.448192,291.902208,BTC
2026-04-16 14:58:25,2026-05-29,69000.0,74846.72,7971.17568,8120.86912,BTC
2026-04-16 14:58:25,2026-04-18,68000.0,74846.72,4939.88352,7784.05888,BTC
2026-04-16 14:58:25,2026-04-24,76000.0,74846.72,1272.39424,1347.2409599999999,BTC
2026-04-16 14:58:25,2026-05-29,74000.0,74846.72,4865.0368,4939.88352,BTC
2026-04-16 14:58:25,2026-05-29,60000.0,74846.72,15418.42432,15755.234559999999,BTC
2026-04-16 14:58:25,2026-09-25,220000.0,74846.72,14.969344000000001,52.392704,BTC
2026-04-16 14:58:25,2026-09-25,100000.0,74846.72,2058.2848,2133.13152,BTC
2026-04-16 14:58:25,2026-05-01,66000.0,74846.72,8981.6064,9505.533440000001,BTC
2026-04-16 14:58:25,2026-05-08,85000.0,74846.72,374.2336,411.65695999999997,BTC
2026-04-16 14:58:25,2027-03-26,98000.0,74846.72,6736.2047999999995,6960.74496,BTC
2026-04-16 14:58:25,2027-03-26,56000.0,74846.72,25223.344640000003,25560.154880000002,BTC
2026-04-16 14:58:25,2026-06-26,84000.0,74846.72,2357.67168,2395.09504,BTC
2026-04-16 14:58:25,2026-04-19,73000.0,74846.72,1347.2409599999999,4939.88352,BTC
2026-04-16 14:58:25,2026-04-17,76500.0,74846.72,97.300736,112.27008000000001,BTC
2026-04-16 14:58:25,2026-05-01,82000.0,74846.72,411.65695999999997,449.08032000000003,BTC
